Accession,Female_Parent,Male_Parent,Cross_Type
CG01-0027,,,
CG01-0087,,,
CG02-163,,,
CG03-0292,,,
CG04-1171,,,
CG04-9324,,,
CG04-9543,,,
CG04-9568,,,
CG04-9615,,,
CG04-9694,,,
CG05-1024,,,
CG05-12577,,,
CG05-1292,,,
CG05-6552,,,
CG05-7312,,,
CG05-77440,,,
CG05-77654,,,
CG05-7862,,,
CG06-12630,,,
CG06-14866,CP72-1312,unknown,biparental
CG06-83223,,,
CG08-1297,,,
CG09-1164,,,
CG09-133119,,,
CG09-2204,NA56-0042,unknown,biparental
CG09-22213,PR61-0632,unknown,biparental
CG10-044124,,,
CG10-044130,,,
CG10-24985,,,
CG11-6258,Mex79-0431,PR68-3120,biparental
CG12-0116,,,
CG12-0123,CP91-1696,CP70-1133,biparental
CG12-318018,,,
CG12-324003,,,
CG96-0001,,,
CG96-01,,,
CG99-0087,,,
CG99-087,,,
CGMex10-26315,,,
CL83-4266,,,
CL84-3152,,,
CL87-2882,,,
CL88-2747,,,
CL88-4730,CL82-3160,CL78-1600,biparental
CL93-2679,,,
CP00-1101,CP89-2143,CP89-2143,self
CP00-1630,,,
CP01-2390,CP95--2318,CP94-1528,
CP03-1912,CP92-1167,CP95-1039,
CP05-1526,CP98-1029,CP88-1162,
CP06-2042,CP96-1252,01P04,
CP06-2400,CP94-1100,03P29,
CP06-2425,CP01-1625,03P29,
CP06-2495,,,
CP06-2897,CP94-2095,CP84-1591,
CP06-2964,CP94-2095,CP97-1387,
CP07-1313,,,
CP07-1606,CP02-2065,CP89-1509,
CP07-2547,CP01-2390,CP00-1630,biparental
CP08-1110,CP01-2459,CP00-2188,
CP08-1183,L03-0391,CPCL02-8021,
CP08-1553,CPCL00-4027,CP01-2390,
CP08-1995,CL96-4527,CP98-1325,
CP08-2506,,,
CP09-1132,CPCL97-0393,CP00-2188,
CP09-1390,CP01-2459,CP00-2188,
CP09-1430,CPCL00-6756,CP01-2390,
CP09-1822,CP01-2459,CPCL02-8021,
CP09-1952,CP01-2390,POLY06-30,
CP09-2067,CP88-1762,POLY06-35,
CP09-2392,CP01-2390,POLY07-04,
CP09-4153,,,
CP09-4758,,,
CP10-1208,CP01-2390,TCP98-4454,
CP10-1313,CP98-1029,Mix 07 I,
CP10-1619,HoCP05-0927,US02-0099,biparental
CP10-1620,CP00-1100,CP05-1740,
CP10-1716,CP00-2180,Mix 07 Q,biparental
CP10-2002,CP98-1029,Mix 07 U,
CP10-2096,CP94-1200,CP92-1167,
CP10-2195,CP01-2390,POLY07-04,
CP10-2413,CP98-1029,TCP00-4518,
CP11-1314,CP05-1451,Mix 08-B,
CP11-1640,CP01-2390,POLY08-19,
CP11-1895,CL90-4643,CPCL05-1102,
CP11-1956,CP03-2188,CP01-2459,
CP11-2248,CP06-2664,POLY09-24,
CP11-2412,CPCL99-2103,CP04-1252,
CP12-1417,CP02-2065,POLY09-16,
CP12-1443,CP02-2281,POLY09-26,
CP12-1753,CP08-2400,POLY10-09,
CP12-2035,CP99-1896,POLY09-26,
CP12-2077,CPCL01-0271,HoCP96-0540,
CP12-2195,CPCL05-1050,POLY09-23,
CP12-2441,HoCP05-0923,HoCP96-0540,
CP12-2479,,,
CP13-1223,CP02-2281,POLY09-25,
CP13-1512,CP06-2214,POLY09-25,
CP13-1612,CP06-2400,CP04-1844,biparental
CP13-1615,CP06-2400,POLY10-04,
CP13-1903,CP08-2400,POLY10-09,biparental
CP13-1954,CP85-1491,POLY09-24,biparental
CP13-4253,,,
CP13-4345,,,
CP13-4474,CPCL02-7610,MX10-01,
CP13-4513,,,
CP13-4524,,,
CP13-4543,,,
CP13-4583,,,
CP14-1315,CP02-2281,CP80-1743,
CP14-1349,CP02-2281,CP97-1777,
CP14-1377,CP03-1094,POLY12-29,biparental
CP14-1490,CP04-1844,CPCL02-8021,biparental
CP14-1524,CPCL05-1102,POLY11-14,
CP14-1587,CP06-2274,CP06-2897,
CP14-1649,CP06-2406,CPCL06-3332,
CP14-1660,CP06-2664,CP01-2459,
CP14-1934,CP07-2460,CP06-2335,
CP14-1999,CP08-1553,CP95-1039,
CP14-2188,CP92-1167,CP06-2170,
CP14-2402,CP98-1029,Mix 07 Q,biparental
CP14-4326,CP04-1844,CP06-2664,
CP14-4330,CL88-4730,POLY10-18,
CP14-4380,CP06-2897,CL88-2747,
CP14-4486,,,
CP14-4570,CP03-1912,CP97-1777,
CP14-4588,CP84-1591,CP07-2547,
CP14-4602,CP04-1844,CL88-4730,
CP15-1167,CP94-1200,CP06-2664,
CP15-1402,CP08-1139,CP05-1616,
CP15-1608,CP08-1183,CP08- 1553,
CP15-1801,CP04-1367,CP84-1198,
CP15-1937,CP04-1250,CP08-1553,
CP15-1975,CP08-1553,CPCL02-8021,
CP15-2405,CPCL05-1791,CP84-1198,
CP15-2516,CP95-1039,CP06-2400,biparental
CP15-4302,CP08-1965,CP08-1553,
CP15-4719,CP07-2262,CP84-1198,biparental
CP15-4811,CP07-2134,CP09-4251,
CP15-4844,CP08-1553,CP06-2400,
CP16-1062,CP08-1183,CP08-1965,biparental
CP16-1139,CP08-1553,CP06-2897,
CP16-1544,CP97-1777,CP08-1553,
CP16-1745,CP06-2400,CP97-1777,biparental
CP16-1829,CPCL97-2730,CP04-1935,
CP16-2200,CPCL05-1791,CP07-2547,biparental
CP16-2283,CP06-2897,CP06-2400,
CP16-2295,CP05-1526,CP06-2400,biparental
CP16-4288,CP04-1844,CP09-4067,biparental
CP16-4405,,,
CP16-4502,,,
CP16-4524,CP07-2134,CP09-4251,biparental
CP16-4686,,,
CP16-4720,,,
CP17-1254,CP09-4153,CP06-2897,
CP17-1413,CP08-1965,CP11-1314,
CP17-1470,CP12-1342,CP11-1314,biparental
CP17-1661,CP11-2545,CPCL99-2651,
CP17-1966,CP09-2392,POLY14-021,biparental
CP17-1968,CP09-2392,POLY14-021,
CP17-2018,B35-0009,CP04-1935,biparental
CP17-2031,CL83-3431,CP06-2400,biparental
CP17-2061,CP12-1246,CP09-1512,
CP17-2134,CP00-1630,CP06-2400,biparental
CP17-2281,CPCL05-1102,CP06-2400,
CP17-2315,CPCL02-8021,CP06-2400,
CP17-2348,CPCL99-2651,CP99-1893,biparental
CP17-2360,CP09-1874,CP06-2400,
CP17-2363,CP09-1874,CP06-2400,biparental
CP17-2393,CP00-1630,CP97-1777,
CP17-2411,CP10-2002,CPCL02-8021,
CP17-2435,CP10-1478,CP08-1553,
CP17-4055,CP07-2046,POLY13-009,
CP17-4154,CP09-4267,CP05-1616,
CP17-4181,CP04-1935,POLY13-012,
CP17-4262,CP09-1874,CP01-2390,biparental
CP17-4264,CP09-1874,CP01-2390,
CP17-4456,CPCL97-0393,CP06-2897,
CP17-4523,CP09-4267,CP01-2390,
CP17-4572,CPCL05-1201,CPCL99-2651,
CP17-4628,CPCL05-1201,CP11-1314,
CP17-4654,CP84-1198,CP04-1935,
CP17-4665,CP84-1198,CP04-1935,
CP17-4681,CP09-1874,CP84-1198,
CP17-4731,CP09-1874,CP07-2547,biparental
CP17-4791,CPCL97-2730,CP07-2547,
CP17-4793,CPCL97-2730,CP07-2547,
CP17-4806,CPCL97-2730,CP07-2547,biparental
CP17-4813,CP09-1874,CP07-2547,
CP17-4830,CP09-1874,CP07-2547,
CP18-1038,CP08-2506,CP92-1167,
CP18-1129,CP06-2897,CP01-2390,
CP18-1224,CP06-2897,CP11-1314,
CP18-1486,GA59-0024,CP11-1314,
CP18-1519,CP06-2897,CP08-1183,
CP18-1580,CP10-2002,CP06-2400,
CP18-1586,CP08-1995,CP06-2400,
CP18-1590,CP08-1995,CP06-2400,
CP18-1591,CP08-1995,CP06-2400,biparental
CP18-1606,CP10-2002,CP11-1314,
CP18-1680,CP10-2002,CP06-2897,
CP18-1685,#8ColdHardy,CP06-2897,biparental
CP18-1837,CP11-2013,CP10-1478,
CP18-1880,CP11-2013,CPCL99-2651,
CP18-2021,CP09-2392,CP84-1198,
CP18-2140,CP06-2400,CP07-2547,biparental
CP18-2222,CP99-1893,CP08-1553,
CP18-2248,BR97-2001,CP06-2042,biparental
CP18-2320,ISD30,CP06-2042,
CP18-2329,,,
CP18-2351,CG04-9694,CP08-1553,
CP18-2362,CG04-9694,CP08-1553,
CP18-2439,GX7,POLY09-26,biparental
CP18-4027,CP04-1844,CPCL02-8021,
CP18-4035,CP09-4153,CP09-4067,
CP18-4125,CP09-2392,CP08-1553,
CP18-4144,CP04-1935,POLY13-012,
CP18-4264,CP09-2392,CP06-2400,biparental
CP18-4270,CP09-2392,CP06-2400,
CP18-4475,CPCL97-2730,CP07-2547,
CP18-4485,CPCL05-1791,CP06-2400,
CP18-4523,CPCL05-1791,CP08-1553,
CP18-4642,CP06-2495,CP11-1314,biparental
CP18-4692,CP06-2897,CP11-2545,
CP18-4731,CP06-2897,CP11-2545,
