Accession,Female_Parent,Male_Parent,Cross_Type
01P04,,,
02P24,,,
03P24,,,
03P29,,,
04P02,,,
06P17,,,
09P22,,,
12P05,,,
28NG251,,,
74L0790,,,
82W1542,,,
88P06,,,
#8ColdHardy,,,
91P13,,,
95P8,,,
AshyMauritius,,,
B0208,,,
B0391,Ba11569,unknown,biparental
B16356,B0208,unknown,biparental
B(30)L7,POJ2364,B0391,biparental
B3353,B(30)L7,B(30)L7,self
B35-0009,,,
B37256,Ba11569,Saccharum spontaneum,biparental
B45181,B37256,B3353,biparental
Ba11569,B16356,unknown,biparental
BanjermasinHitam,,,
BlackCheribon,,,
Bourne35-9,POJ2725,CP27-0035,biparental
BR97-2001,,,
CC82-0015,EPC54839,EPC72174,biparental
CG01-0027,,,
CG01-0087,,,
CG02-163,,,
CG03-0292,,,
CG04-1171,,,
CG04-9324,,,
CG04-9543,,,
CG04-9568,,,
CG04-9615,,,
CG04-9694,,,
CG05-1024,,,
CG05-12577,,,
CG05-1292,,,
CG05-6552,,,
CG05-7312,,,
CG05-77440,,,
CG05-77654,,,
CG05-7862,,,
CG06-12630,,,
CG06-14866,CP72-1312,unknown,biparental
CG06-83223,,,
CG08-1297,,,
CG09-1164,,,
CG09-133119,,,
CG09-2204,NA56-0042,unknown,biparental
CG09-22213,PR61-0632,unknown,biparental
CG10-044124,,,
CG10-044130,,,
CG10-24985,,,
CG11-6258,Mex79-0431,PR68-3120,biparental
CG12-0116,,,
CG12-0123,CP91-1696,CP70-1133,biparental
CG12-318018,,,
CG12-324003,,,
CG96-0001,,,
CG96-01,,,
CG99-0087,,,
CG99-087,,,
CGMex10-26315,,,
Chunnee,,,
CL41-0114,CP29-0103,Co301,biparental
CL41-0142,CP27-0108,Bourne35-9,biparental
CL41-0223,F31-0436,F31-0452,biparental
CL47-0083,CL41-0223,unknown,biparental
CL47-0143,CL41-0114,CL41-0142,biparental
CL49-0032,CL41-0142,FX1,biparental
CL54-0119,CL47-0143,CP30-0024,biparental
CL54-0134,CL49-0032,CP38-0034,biparental
CL54-0140,CL41-0142,F31-0436,biparental
CL54-1910,CL47-0143,CL47-0083,biparental
CL57-0039,CL47-0143,unknown,biparental
CL58-0065,CL54-0140,CL54-0119,biparental
CL61-0620,,,
CL64-0122,CL58-0065,CP33-0372,biparental
CL65-0279,CP52-0068,CL54-1910,biparental
CL66-0141,CL57-0039,CP36-0211,biparental
CL68-1336,F36-0819,CL47-0083,biparental
CL69-0886,CL64-0122,CP54-0378,biparental
CL72-0321,,,
CL73-0239,,,
CL75-0853,CL68-1336,CP54-0378,biparental
CL78-1600,CP52-0068,CL54-1910,biparental
CL79-2243,CL66-0141,CL69-0886,biparental
CL82-3160,,,
CL83-3431,,,
CL83-4266,,,
CL84-3152,,,
CL86-5687,,,
CL87-2882,,,
CL88-2747,,,
CL88-4730,CL82-3160,CL78-1600,biparental
CL89-5189,,,
CL89-5457,CL79-2243,Mix88-L,biparental
CL90-4500,,,
CL90-4643,,,
CL90-4725,,,
CL90-5017,,,
CL92-0046,,,
CL92-2533,CL75-0853,CL78-1600,biparental
CL93-1858,,,
CL93-2679,,,
CL95-5255,,,
CL96-4527,,,
Co206,AshyMauritius,unknown Indian S. spontaneum,biparental
Co213,POJ0213,Kansar,biparental
Co221,POJ0213,M2,biparental
Co281,POJ0213,Co206,biparental
Co285,GreenSport,unknown Indian S. spontaneum,biparental
Co290,Co221,D74,biparental
Co301,Co213,POJ1499,biparental
Co421,POJ2878,Co285,biparental
CP00-1100,CP89-2143,CP89-2143,
CP00-1101,CP89-2143,CP89-2143,self
CP00-1301,CP75-1632,CP89-2143,biparental
CP00-1630,,,
CP00-1830,,,
CP00-2180,HoCP91-0552,HoCP91-0552,self
CP00-2188,CP90-1549,CP90-1549,self
CP0040,OkinawaTekcha,FM3,biparental
CP01-1625,CP81-1254,CP94-2059,biparental
CP01-2365,CP94-2045,CP95-1569,biparental
CP01-2390,CP95--2318,CP94-1528,
CP01-2459,,,
CP02-1143,CP93-1382,CP92-1666,biparental
CP02-1564,CP94-1528,CP72-2086,biparental
CP02-1985,CP90-1436,CP88-1762,biparental
CP02-2065,CP80-1743,TCP87-3388,biparental
CP02-2281,CP94-1200,CP92-1167,biparental
CP03-1026,CP98-1119,CP92-1167,biparental
CP03-1094,CP95-1569,CP96-1310,biparental
CP03-1912,CP92-1167,CP95-1039,
CP03-1939,CP82-1172,CP95-1039,biparental
CP03-2188,CP95-1569,CP97-1362,biparental
CP04-1250,CP97-2068,CP97-1362,biparental
CP04-1252,CP97-2068,CP97-1362,biparental
CP04-1367,CP97-2068,CP94-1607,biparental
CP04-1844,CP97-1989,CP84-1198,biparental
CP04-1935,CP94-2059,CP84-1322,
CP05-1451,CP84-1198,CP88-1762,biparental
