"","BR97-1004","BR97-2001","CG01-0027","CG01-0053","CG01-0087","CG02-0163","CG03-0292","CG03-25","CG04-1171","CG04-9324","CG04-9543","CG04-9568","CG04-9615","CG04-9694","CG05-1024","CG05-12577","CG05-1292","CG05-6552","CG05-7312","CG05-77440","CG05-77654","CG05-7862","CG06-12630","CG06-14866","CG06-83223","CG08-1297","CG09-1164","CG09-133119","CG09-2204","CG09-22213","CG10-044124","CG10-044130","CG10-24985","CG11-6258","CG12-0116","CG12-0123","CG12-318018","CG12-324003","CG96-0001","CG99-0087","CGMex10-26315","CL83-4266","CL84-3152","CL87-2882","CL88-2747","CL88-4730","CL93-2679","CP00-1101","CP00-1630","CP01-2390","CP03-1912","CP04-1566","CP04-1935","CP05-1526","CP06-2042","CP06-2400","CP06-2425","CP06-2495","CP06-2897","CP06-2964","CP06-3103","CP07-1313","CP07-1606","CP07-2320","CP07-2547","CP08-1110","CP08-1183","CP08-1553","CP08-1968","CP08-1995","CP08-2506","CP09-1132","CP09-1390","CP09-1430","CP09-1822","CP09-1874","CP09-1952","CP09-2067","CP09-2392","CP09-4153","CP09-4758","CP10-1208","CP10-1313","CP10-1619","CP10-1620","CP10-1716","CP10-2002","CP10-2096","CP10-2195","CP10-2413","CP11-1314","CP11-1640","CP11-1895","CP11-1956","CP11-2248","CP11-2412","CP12-1417","CP12-1443","CP12-1753","CP12-1789","CP12-2035","CP12-2077","CP12-2195","CP12-2441","CP12-2479","CP13-1223","CP13-1512","CP13-1612","CP13-1615","CP13-1903","CP13-1954","CP13-4253","CP13-4345","CP13-4474","CP13-4513","CP13-4524","CP13-4543","CP13-4583","CP13-4623","CP14-1116","CP14-1315","CP14-1349","CP14-1377","CP14-1490","CP14-1524","CP14-1587","CP14-1649","CP14-1660","CP14-1933","CP14-1934","CP14-1999","CP14-2188","CP14-2402","CP14-4277","CP14-4326","CP14-4330","CP14-4380","CP14-4486","CP14-4570","CP14-4588","CP14-4602","CP15-1101","CP15-1167","CP15-1402","CP15-1608","CP15-1801","CP15-1937","CP15-1975","CP15-2263","CP15-2405","CP15-2443","CP15-2516","CP15-4229","CP15-4302","CP15-4719","CP15-4811","CP15-4844","CP16-1062","CP16-1139","CP16-1544","CP16-1745","CP16-1829","CP16-1883","CP16-2200","CP16-2283","CP16-2295","CP16-4288","CP16-4405","CP16-4502","CP16-4524","CP16-4686","CP16-4720","CP17-1254","CP17-1413","CP17-1470","CP17-1661","CP17-1893","CP17-1934","CP17-1966","CP17-1968","CP17-2018","CP17-2031","CP17-2061","CP17-2134","CP17-2281","CP17-2315","CP17-2348","CP17-2360","CP17-2393","CP17-2411","CP17-2435","CP17-4055","CP17-4154","CP17-4181","CP17-4262","CP17-4264","CP17-4456","CP17-4511","CP17-4523","CP17-4572","CP17-4628","CP17-4654","CP17-4665","CP17-4681","CP17-4731","CP17-4791","CP17-4793","CP17-4805","CP17-4806","CP17-4813","CP17-4830","CP18-1038","CP18-1129","CP18-1224","CP18-1486","CP18-1519","CP18-1580","CP18-1586","CP18-1590","CP18-1591","CP18-1606","CP18-1680","CP18-1685","CP18-1880","CP18-2021","CP18-2140","CP18-2222","CP18-2248","CP18-2320","CP18-2329","CP18-2351","CP18-2362","CP18-2439","CP18-4027","CP18-4035","CP18-4125","CP18-4144","CP18-4264","CP18-4270","CP18-4475","CP18-4485","CP18-4523","CP18-4642","CP18-4692","CP18-4731","CP19-1147","CP19-1163","CP19-1178","CP19-1254","CP19-1435","CP19-1795","CP19-1801","CP19-1819","CP19-1834","CP19-2031","CP19-2051","CP19-2108","CP19-2136","CP19-2309","CP19-2317","CP19-2338","CP19-2426","CP19-4012","CP19-4034","CP19-4099","CP19-4154","CP19-4215","CP19-4291","CP19-4312","CP19-4366","CP19-4398","CP19-4471","CP19-4524","CP19-4565","CP19-4593","CP19-4681","CP19-4825","CP21-1218","CP21-1466","CP21-1591","CP21-1717","CP21-1940","CP21-2274","CP21-2400","CP21-2457","CP21-2485","CP52-0048","CP72-2086","CP73-1547","CP85-1491","CP89-2143","CP96-1252","CP97-1777","CPCL01-0877","CPCL02-0926","CPCL02-6848","CPCL02-8147","CPCL02-8149","CPCL05-1102","CPCL05-1201","CPCL05-1791","CPCL13-4046","CPCL14-4066","CPCL95-2287","CPCL97-0393","CPCL97-2730","CPCL99-2651","CPF-0249","CPF-0250","CR00-026","CR03-0038","CR04-0001","CR94-1006","CR95-1007","CR97-1008","CSSG-0032","CSSG-0033","Ho11-0573","Ho12-0616","Ho12-0627","Ho12-0630","Ho13-0739","Ho14-0722","Ho16-0600","Ho16-0603","Ho16-0637","Ho16-0663","Ho16-0666","Ho17-0722","Ho17-0723","Ho17-0760","Ho17-0762","Ho18-0878","HoCP04-0838","HoCP04-0852","HoCP09-0804","HoCP14-0885","HoCP15-0543","HoCP16-0674","HoCP17-0710","HoCP17-0714","HoSG-0031","HoSG-0315","IK76-0065","LF5651","LF65-3611","M1392/00","M1989/99","MQ724005","N22","N37","N41","N49","N53","N55","N58","NA011806","NA01640","NA033300","NA041992","NA05-0811","NA051673","NA052115","NA052748","NA0559","NG51-0105","NG51-058","NSG-0197","Q196","Q208","Q232","Q234","Q235","R575","R584","R95/2202","Raiatea","SP89-1115","SP90-1638","SP91-1049","SP91-1397","US21-0006","US67-22-2","US74-1315","US84-1058","US87-1019"
"BR97-1004",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR97-2001",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG01-0027",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG01-0053",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG01-0087",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG02-0163",0,0,0,0,0,1.16480561342814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215364948058161,0,0,0,0,0,0,0,0,0,0,0,0.044753180609809,0.111558209067346,0,0,0,0,0,0,0,0,0,0,0.438890091309079,0,0.165603808639999,0.104747645761514,0.093990199472452,0.323914450934759,0.046995099736226,0.093990199472452,0.0111882951524523,0.0835589293099235,0,0.107682474029081,0.167989257122936,0,0,0.119008747479012,0.119008747479012,0.0828019043199997,0,0.0970810163404237,0.0828019043199997,0.203712722299722,0,0,0,0,0.0828019043199997,0.0571072275491911,0.0355321146914589,0.0828019043199997,0.0869253767574588,0.0828019043199997,0,0,0.0828019043199997,0.046995099736226,0.275333507561389,0.21944504565454,0.150384501992266,0.046995099736226,0.0976828230465213,0.0828019043199997,0.219686718363871,0.137452887851181,0.0828019043199997,0,0.0409059874478355,0.090239790216964,0.0160331008202091,0.119008747479012,0.0488414115232606,0,0,0.0320662016404182,0.136335802666935,0,0.305369681945717,0,0.0488414115232606,0.130695274668415,0.152810384910648,0.00559414757622613,0,0,0,0,0,0,0,0,0,0,0.256652657834917,0.222692165038178,0.0897941437297962,0.110973733499104,0.204323464883613,0,0.0698743378347494,0.0490568359549555,0.090239790216964,0,0,0.135391151632452,0.106912946561123,0.046995099736226,0.046995099736226,0.237456027551386,0,0.0538412370145403,0,0.0933265550872928,0.0414009521599999,0.147216237334422,0.046995099736226,0.177165166974423,0.116482557094693,0.0485405081702119,0.204013499765113,0.057434052980209,0.0985081797091909,0.023497549868113,0.23497549868113,0.446593678178094,0.0995843470486781,0.0523738228807572,0.128920790538967,0.225744843954478,0,0.046995099736226,0.136060346549179,0.0952421891745401,0.0823536843665355,0.0465468797827617,0.161957225467379,0.0869253767574588,0.0883960518962258,0.0594353845907664,0.0290916974443391,0,0,0,0,0,0,0.0538412370145403,0.156246282304558,0.110127396085591,0,0.0525892473124521,0.0883960518962258,0.0414009521599999,0.0414009521599999,0.161957225467379,0.00559414757622613,0.0414009521599999,0.00559414757622613,0.00559414757622613,0.0627013751254172,0.167117858619847,0.0233602049219556,0.0409527322065356,0.0806047774173041,0.0848636405387293,0,0.116482557094693,0.161957225467379,0.100567961665729,0.100567961665729,0.0538412370145403,0.0148588461476916,0.0828019043199997,0,0.0687264439255907,0.349937624412283,0.349937624412283,0.205746456290633,0.0591670095057293,0.0414009521599999,0.0414009521599999,0.0414009521599999,0.0414009521599999,0.0591670095057293,0.0591670095057293,0.0107574462890625,0.13664314133454,0.122567680940131,0.0687264439255907,0.102381745184752,0.0290916974443391,0.00559414757622613,0.00559414757622613,0.00559414757622613,0.0922239937937037,0.0773387868826532,0.0538412370145403,0.0414009521599999,0.229381351104904,0.046995099736226,0.208518810779847,0.046995099736226,0.046995099736226,0,0.0414009521599999,0.0414009521599999,0,0.204323464883613,0,0.0828019043199997,0.161957225467379,0.046995099736226,0.046995099736226,0.0414009521599999,0.0525892473124521,0.0883960518962258,0.0687264439255907,0.0538412370145403,0.0538412370145403,0.0355321146914589,0.0823536843665355,0.0414009521599999,0.0414009521599999,0,0.0848636405387293,0.0414009521599999,0.436386111904903,0.436386111904903,0.0737913480420347,0.0737913480420347,0.0414009521599999,0.0441980259481129,0.0550116501463305,0,0.0414009521599999,0.145837481051746,0,0.0933265550872928,0.0523738228807572,0.136630816009737,0,0.100567961665729,0.100567961665729,0,0.0485405081702119,0.116482557094693,0.289806665119999,0.229381351104904,0.229381351104904,0.0414009521599999,0.124581368974961,0,0,0,0,0,0,0,0,0,0.256683349609375,0.662415234559998,0.223116418134692,0,0.438890091309079,0.187980398944904,0.0819054644130712,0,0.173850753514918,0.107670064343855,0,0,0,0,0.093990199472452,0.093990199472452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253365687382074,0.175276573578944,0.308935302111674,0.231285524629925,0.210187275386805,0,0.223713725028542,0.223713725028542,0.304915542955752,0.298701253938086,0.233647238079903,0.23286885326041,0.297714551818583,0.305350043482578,0.25075591008593,0.202183312405661,0.274334813341682,0.422203729836211,0.227063784710501,0.235319634687426,0.193443030216126,0.375444613039412,0.248895226192082,0.240890535143995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG03-0292",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG03-25",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG04-1171",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG04-9324",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
