"id","totalbiomass","ratooningability","averagebrix","observed"
"BR97-1004",2458.06,0.4435,20.0707,FALSE
"BR97-2001",2458.06,0.4435,20.0707,FALSE
"CG01-0027",2458.06,0.4435,20.0707,FALSE
"CG01-0053",2458.06,0.4435,20.0707,FALSE
"CG01-0087",2458.06,0.4435,20.0707,FALSE
"CG02-0163",2157.07,0.4383,19.85,FALSE
"CG03-0292",2458.06,0.4435,20.0707,FALSE
"CG03-25",2458.06,0.4435,20.0707,FALSE
"CG04-1171",2458.06,0.4435,20.0707,FALSE
"CG04-9324",2458.06,0.4435,20.0707,FALSE
"CG04-9543",2458.06,0.4435,20.0707,FALSE
"CG04-9568",2458.06,0.4435,20.0707,FALSE
"CG04-9615",2458.06,0.4435,20.0707,FALSE
"CG04-9694",2458.06,0.4435,20.0707,FALSE
"CG05-1024",2458.06,0.4435,20.0707,FALSE
"CG05-12577",2458.06,0.4435,20.0707,FALSE
"CG05-1292",2458.06,0.4435,20.0707,FALSE
"CG05-6552",2458.06,0.4435,20.0707,FALSE
"CG05-7312",2458.06,0.4435,20.0707,FALSE
"CG05-77440",2458.06,0.4435,20.0707,FALSE
"CG05-77654",2458.06,0.4435,20.0707,FALSE
"CG05-7862",2458.06,0.4435,20.0707,FALSE
"CG06-12630",2458.06,0.4435,20.0707,FALSE
"CG06-14866",2370.54,0.4451,19.9894,FALSE
"CG06-83223",2458.06,0.4435,20.0707,FALSE
"CG08-1297",2458.06,0.4435,20.0707,FALSE
"CG09-1164",2458.06,0.4435,20.0707,FALSE
"CG09-133119",2458.06,0.4435,20.0707,FALSE
"CG09-2204",2458.06,0.4435,20.0707,FALSE
"CG09-22213",2458.06,0.4435,20.0707,FALSE
"CG10-044124",2458.06,0.4435,20.0707,FALSE
"CG10-044130",2458.06,0.4435,20.0707,FALSE
"CG10-24985",2458.06,0.4435,20.0707,FALSE
"CG11-6258",2458.06,0.4435,20.0707,FALSE
"CG12-0116",2458.06,0.4435,20.0707,FALSE
"CG12-0123",2399.56,0.4479,19.8448,FALSE
"CG12-318018",2381.01,0.4442,20.0039,FALSE
"CG12-324003",2458.06,0.4435,20.0707,FALSE
"CG96-0001",2458.06,0.4435,20.0707,FALSE
"CG99-0087",2458.06,0.4435,20.0707,FALSE
"CGMex10-26315",2458.06,0.4435,20.0707,FALSE
"CL83-4266",2458.06,0.4435,20.0707,FALSE
"CL84-3152",2458.06,0.4435,20.0707,FALSE
"CL87-2882",2489.44,0.4506,19.8319,FALSE
"CL88-2747",2501.85,0.4424,19.9504,FALSE
"CL88-4730",2375.81,0.4418,20.1875,FALSE
"CL93-2679",2489.44,0.4506,19.8319,FALSE
"CP00-1101",2254.69,0.4437,20.3387,TRUE
"CP00-1630",2540.73,0.443,19.9901,FALSE
"CP01-2390",2533.76,0.4503,20.0041,TRUE
"CP03-1912",2428.62,0.4436,19.8438,FALSE
"CP04-1566",2430.28,0.4494,19.6449,FALSE
"CP04-1935",2304.34,0.4434,19.703,FALSE
"CP05-1526",2498.94,0.4409,19.8458,TRUE
"CP06-2042",2550.07,0.4417,20.3626,TRUE
"CP06-2400",2747.64,0.4356,19.9414,TRUE
"CP06-2425",2477.82,0.4414,20.038,FALSE
"CP06-2495",2458.06,0.4435,20.0707,FALSE
"CP06-2897",2188.35,0.4446,19.9052,TRUE
"CP06-2964",2305.45,0.445,19.9701,FALSE
"CP06-3103",2458.06,0.4435,20.0707,FALSE
"CP07-1313",2458.06,0.4435,20.0707,FALSE
"CP07-1606",2568.35,0.4431,20.7696,TRUE
"CP07-2320",2404.53,0.4464,20.5861,TRUE
"CP07-2547",2538.37,0.4462,19.9165,FALSE
"CP08-1110",2417.39,0.4434,20.0369,FALSE
"CP08-1183",2368.75,0.4486,20.0234,FALSE
"CP08-1553",2563.51,0.4588,19.9662,TRUE
"CP08-1968",2318.58,0.4443,19.9578,FALSE
"CP08-1995",2691.88,0.4357,19.6667,TRUE
"CP08-2506",2173.23,0.4352,21.0201,TRUE
"CP09-1132",2702.52,0.4526,19.8108,TRUE
"CP09-1390",2319.18,0.4399,20.0367,TRUE
"CP09-1430",2098.1,0.4428,20.6867,TRUE
"CP09-1822",2316.02,0.447,20.0837,FALSE
"CP09-1874",2313.18,0.4409,20.2544,FALSE
"CP09-1952",2456.29,0.4518,20.5365,TRUE
"CP09-2067",2359.76,0.4445,20.194,TRUE
"CP09-2392",2586.01,0.4482,20.0829,FALSE
"CP09-4153",2458.06,0.4435,20.0707,FALSE
"CP09-4758",2458.06,0.4435,20.0707,FALSE
"CP10-1208",2495.77,0.4469,20.0374,FALSE
"CP10-1313",2313.5,0.4381,20.4204,TRUE
"CP10-1619",2312.15,0.4444,19.8449,TRUE
"CP10-1620",2289.09,0.4423,20.0981,FALSE
"CP10-1716",2377.51,0.4426,20.1597,FALSE
"CP10-2002",2543.14,0.4423,20.1524,TRUE
"CP10-2096",2391.1,0.4407,19.9394,FALSE
"CP10-2195",2768.54,0.4506,20.1738,TRUE
"CP10-2413",2378.89,0.4414,20.1431,FALSE
"CP11-1314",2717.61,0.4421,19.6014,TRUE
"CP11-1640",2495.77,0.4469,20.0374,FALSE
"CP11-1895",2375.81,0.4418,20.1875,FALSE
"CP11-1956",2255.33,0.4432,20.0723,TRUE
"CP11-2248",2461.32,0.4514,19.5864,TRUE
"CP11-2412",2420.06,0.4421,19.8556,FALSE
"CP12-1417",2396.07,0.4442,20.2977,FALSE
"CP12-1443",2420.55,0.4408,19.8226,FALSE
"CP12-1753",2277.63,0.4449,20.1769,FALSE
"CP12-1789",2536.16,0.4454,20.0212,FALSE
"CP12-2035",2422.73,0.4433,19.8889,FALSE
"CP12-2077",2397.2,0.4441,20.0198,FALSE
"CP12-2195",2458.06,0.4435,20.0707,FALSE
"CP12-2441",2329.01,0.445,19.9643,FALSE
"CP12-2479",2458.06,0.4435,20.0707,FALSE
"CP13-1223",2385.45,0.4337,20.0704,TRUE
"CP13-1512",2371.78,0.4435,19.9883,FALSE
"CP13-1612",2340.13,0.4355,19.9203,TRUE
"CP13-1615",2282.1,0.4343,20.0308,TRUE
"CP13-1903",2089.46,0.4461,20.1569,TRUE
"CP13-1954",2767.49,0.451,19.8404,TRUE
"CP13-4253",2458.06,0.4435,20.0707,FALSE
"CP13-4345",2458.06,0.4435,20.0707,FALSE
