Accession,Female_Parent,Male_Parent,Cross_Type
BR97-1004,NA,NA,NA
CG01-0027,NA,NA,NA
CG01-0053,NA,NA,NA
CG01-0087,NA,NA,NA
CG04-9324,NA,NA,NA
CG04-9543,NA,NA,NA
CG04-9568,NA,NA,NA
CG05-7862,NA,NA,NA
CG08-1297,NA,NA,NA
CG09-1164,NA,NA,NA
CG96-0001,NA,NA,NA
CL61-0620,CP48-0120,CL54-1910,biparental
CL83-4266,NA,NA,NA
CL84-3152,NA,NA,NA
CL87-2882,NA,NA,NA
CL88-2747,NA,NA,NA
CL88-4730,NA,NA,NA
CL93-2679,NA,NA,NA
CP00-1100,CP89-2143,CP89-2143,self
CP00-1630,NA,NA,NA
CP01-2390,CP95-2318,CP94-1528,biparental
CP03-1912,CP92-1167,CP95-1039,biparental
CP04-1566,CP89-2377,CP96-1252,biparental
CP04-1935,CP94-2059,CP84-1322,biparental
CP05-1526,CP98-1029,CP88-1162,biparental
CP06-2042,CP96-1252,01P04,biparental
CP06-2400,CP94-1100,03P29,biparental
CP06-2425,CP01-1625,03P29,biparental
CP06-2495,NA,unknown,NA
CP06-2897,CP94-2095,CP84-1591,biparental
CP06-2964,CP94-2095,CP97-1387,biparental
CP06-3103,NA,NA,NA
CP07-2320,CP02-2065,CP96-1865,biparental
CP07-2547,CP01-2390,CP00-1630,biparental
CP08-1110,CP01-2459,CP00-2188,biparental
CP08-1183,L03-0391,CPCL02-8021,biparental
CP08-1553,CPCL00-4027,CP01-2390,biparental
CP08-1968,CP01-1178,CP00-1301,biparental
CP08-1995,CL96-4527,CP98-1325,biparental
CP08-2506,NA,NA,NA
CP09-1132,CPCL97-0393,CP00-2188,biparental
CP09-1390,CP01-2459,CP00-2188,biparental
CP09-1430,CPCL00-6756,CP01-2390,biparental
CP09-1952,CP01-2390,POLY06-30,biparental
CP09-2067,CP88-1762,POLY06-35,biparental
CP09-2392,CP01-2390,POLY07-04,biparental
CP09-4153,NA,NA,NA
CP10-1208,CP01-2390,TCP98-4454,biparental
CP10-1313,CP98-1029,Mix 07 I,biparental
CP10-1620,CP00-1100,CP05-1740,biparental
CP10-2002,CP98-1029,Mix 07 U,biparental
CP10-2096,CP94-1200,CP92-1167,biparental
CP10-2195,CP01-2390,POLY07-04,biparental
CP10-2413,CP98-1029,TCP00-4518,biparental
CP11-1314,CP05-1451,Mix 08-B,biparental
CP11-1640,CP01-2390,POLY08-19,biparental
CP11-1895,CL90-4643,CPCL05-1102,biparental
CP11-1956,CP03-2188,CP01-2459,biparental
CP11-2248,CP06-2664,POLY09-24,biparental
CP11-2412,CPCL99-2103,CP04-1252,biparental
CP12-1417,CP02-2065,POLY09-16,biparental
CP12-1443,CP02-2281,POLY09-26,biparental
CP12-1753,CP08-2400,POLY10-09,biparental
CP12-2035,CP99-1896,POLY09-26,biparental
CP12-2077,CPCL01-0271,HoCP96-0540,biparental
CP12-2195,CPCL05-1050,POLY09-23,biparental
CP12-2441,HoCP05-0923,HoCP96-0540,biparental
CP12-2479,NA,NA,NA
CP13-1223,CP02-2281,POLY09-25,biparental
CP13-1612,CP06-2400,CP04-1844,biparental
CP13-1615,CP06-2400,POLY10-04,biparental
CP13-1907,CP08-2400,POLY10-09,biparental
CP13-1929,CP57-0614,CP06-3025,biparental
CP13-1954,CP85-1491,POLY09-24,biparental
CP13-4253,NA,NA,NA
CP13-4345,NA,NA,NA
CP13-4474,CPCL02-7610,MX10-01,biparental
CP13-4513,NA,NA,NA
CP13-4524,NA,NA,NA
CP13-4543,NA,NA,NA
CP13-4583,NA,NA,NA
CP13-4623,NA,NA,NA
CP14-1315,CP02-2281,CP80-1743,biparental
CP14-1349,CP02-2281,CP97-1777,biparental
CP14-1524,CPCL05-1102,POLY11-14,biparental
CP14-1587,CP06-2274,CP06-2897,biparental
CP14-1649,CP06-2406,CPCL06-3332,biparental
CP14-1660,CP06-2664,CP01-2459,biparental
CP14-1934,CP07-2460,CP06-2335,biparental
CP14-1999,CP08-1553,CP95-1039,biparental
CP14-2188,CP92-1167,CP06-2170,biparental
CP14-2402,CP98-1029,Mix 07 Q,biparental
CP14-4326,CP04-1844,CP06-2664,biparental
CP14-4330,CL88-4730,POLY10-18,biparental
CP14-4380,CP06-2897,CL88-2747,biparental
CP14-4486,NA,NA,NA
CP14-4570,CP03-1912,CP97-1777,biparental
CP14-4588,CP84-1591,CP07-2547,biparental
CP14-4602,CP04-1844,CL88-4730,biparental
CP15-1101,CPCL06-3458,POLY10-09,biparental
CP15-1167,CP94-1200,CP06-2664,biparental
CP15-1402,CP08-1139,CP05-1616,biparental
CP15-1608,CP08-1183,CP08- 1553,biparental
CP15-1801,CP04-1367,CP84-1198,biparental
CP15-1937,CP04-1250,CP08-1553,biparental
CP15-2263,CPCL97-2730,CP05-1526,biparental
CP15-2380,CP09-1390,CP84-1198,biparental
CP15-2405,CPCL05-1791,CP84-1198,biparental
CP15-4229,CP03-1912,CP08- 1553,biparental
CP15-4844,CP08-1553,CP06-2400,biparental
CP16-1139,CP08-1553,CP06-2897,biparental
CP16-1829,CPCL97-2730,CP04-1935,biparental
CP16-1883,CPCL05-1201,CP07-1746,biparental
CP16-2283,CP06-2897,CP06-2400,biparental
CP16-2295,CP05-1526,CP06-2400,biparental
CP16-2337,HoCP09-0814,CP72-2086,biparental
CP16-4288,NA,NA,NA
CP16-4502,NA,NA,NA
CP16-4524,NA,NA,NA
CP16-4720,NA,NA,NA
CP17-1254,CP09-4153,CP06-2897,biparental
CP17-1413,CP08-1965,CP11-1314,biparental
CP17-1661,CP11-2545,CPCL99-2651,biparental
CP17-1759,CPCL97-2730,CP12-2195,biparental
CP17-1839,CP85-1491,CP05-1616,biparental
CP17-1934,CP10-1208,CP06-2042,biparental
CP17-1968,CP09-2392,POLY14-021,biparental
CP17-2281,CPCL05-1102,CP06-2400,biparental
CP17-2360,CP09-1874,CP06-2400,biparental
CP17-2393,CP00-1630,CP97-1777,biparental
CP17-2411,CP10-2002,CPCL02-8021,biparental
CP17-2435,CP10-1478,CP08-1553,biparental
CP17-4055,CP07-2046,POLY13-009,biparental
CP17-4154,CP09-4267,CP05-1616,biparental
CP17-4181,CP04-1935,POLY13-012,biparental
CP17-4264,CP09-1874,CP01-2390,biparental
CP17-4456,CPCL97-0393,CP06-2897,biparental
CP17-4511,CP06-2495,CP11-2324,biparental
CP17-4523,CP09-4267,CP01-2390,biparental
CP17-4572,CPCL05-1201,CPCL99-2651,biparental
